"Segment Name","Size (MB)","Segment Type","Number of Rows"
"PENDING_TRANS$","0.1","TABLE","0"
"PO_CLUSTERCONF","0.1","TABLE","0"
"PO_CONNECTINFO","0.1","TABLE","0"
"PO_DATAMAPTYPE","0.1","TABLE","0"
"PO_DOMAINUSAGE","0.1","TABLE","14"
"PO_LDAPOPTIONS","0.1","TABLE","0"
"PO_NODEADDRESS","0.1","TABLE","1"
"PO_OPTIONGROUP","0.1","TABLE","32"
"PO_SMTPOPTIONS","0.1","TABLE","1"
"PO_STRINGVALUE","0.1","TABLE","0"
"PROCEDUREJAVA$","0.1","TABLE","0"
"PROPERTIES_TAB","0.1","NESTED TABLE","-"
"PR_B_RSID_TXID","0.1","TABLE","0"
"RECYCLEBIN$_TS","0.1","INDEX","-"
"REGISTRY$ERROR","0.1","TABLE","0"
"REPCAT$_REPCAT","0.1","TABLE","0"
"RESOURCE_COST$","0.1","TABLE","10"
"RESOURCE_PLAN$","0.1","TABLE","10"
"RULE_SET_RDEP$","0.1","TABLE","2"
"SCHEDULER$_JOB","0.1","TABLE","15"
"STREAMS$_RULES","0.1","TABLE","0"
"TRANSIENT_IOT$","0.1","TABLE","0"
"TRIGGERDEPIND$","0.1","INDEX","-"
"TYPEHIERARCHY$","0.1","TABLE","45"
"UI_REDEF_NAME$","0.1","INDEX","-"
"XS$SESSIONS_I1","0.1","INDEX","-"
"APPLY$_DEST_OBJ","0.1","TABLE","0"
"AQ$_REPLAY_INFO","0.1","TABLE","0"
"CHNFDIRECTLOAD$","0.1","TABLE","0"
"DBMS_ALERT_INFO","0.1","TABLE","0"
"DEF$_PROPAGATOR","0.1","TABLE","0"
"DEPENDENCIES_PK","0.1","INDEX","-"
"DST$ERROR_TABLE","0.1","TABLE","0"
"FGR$_TABLE_INFO","0.1","TABLE","0"
"HS$_BASE_DD_UK1","0.1","INDEX","-"
"HS$_CLASS_DD_PK","0.1","INDEX","-"
"HS$_FDS_INST_PK","0.1","INDEX","-"
"HS$_INST_DD_UK1","0.1","INDEX","-"
"I1_QUEUE_TABLES","0.1","INDEX","-"
"IS_DBFS$_MOUNTS","0.1","INDEX","-"
"I_AUDIT_ACTIONS","0.1","INDEX","-"
"I_CACHE_STATS_0","0.1","INDEX","-"
"I_CACHE_STATS_1","0.1","INDEX","-"
"I_DEFERRED_STG1","0.1","INDEX","-"
"I_DIANA_VERSION","0.1","INDEX","-"
"I_DIMJOINKEY$_1","0.1","INDEX","-"
"I_DIMJOINKEY$_2","0.1","INDEX","-"
"I_INDPART_PARAM","0.1","INDEX","-"
"I_MON_MODS$_OBJ","0.1","INDEX","-"
"I_OLAP_TAB_COL$","0.1","INDEX","-"
"I_REDEF_OBJECT$","0.1","INDEX","-"
"I_SNAP_REFTIME1","0.1","INDEX","-"
"I_XS$VERIFIERS1","0.1","INDEX","-"
"LOGMNRG_REFCON$","0.1","TABLE","0"
"LOGMNR_BUILDLOG","0.1","TABLE","0"
"LOGMNR_SESSION$","0.1","TABLE","0"
"MAP_EXTELEMENT$","0.1","TABLE","0"
"MAP_SUBELEMENT$","0.1","TABLE","0"
"MVIEW$_ADV_INFO","0.1","TABLE","0"
"MVIEW$_ADV_PLAN","0.1","TABLE","0"
"MVIEW$_ADV_TEMP","0.1","TABLE","0"
"OL$NODE_OL_NAME","0.1","INDEX","-"
"OPB_ANALYZE_DEP","0.1","TABLE","0"
"OPB_ATTRCAT_IDX","0.1","INDEX","-"
"OPB_CLIENT_CONN","0.1","TABLE","0"
"OPB_CUBEFLD_IDX","0.1","INDEX","-"
"OPB_DEP_LOG_IDX","0.1","INDEX","-"
"OPB_EXPRESSION_","0.1","TABLE","0"
"OPB_FACTFLD_IDX","0.1","INDEX","-"
"OPB_FACTLVL_IDX","0.1","INDEX","-"
"OPB_GENOBJ_IDX2","0.1","INDEX","-"
"OPB_HASHKEY_IDX","0.1","INDEX","-"
"OPB_KEYWORD_IDX","0.1","INDEX","-"
"OPB_MACRO_ARGS_","0.1","TABLE","0"
"OPB_MACRO_EXPR_","0.1","TABLE","0"
"OPB_MAPPING_IDX","0.1","INDEX","-"
"OPB_MAP_OPTIONS","0.1","TABLE","0"
"OPB_MAP_OPT_IDX","0.1","INDEX","-"
"OPB_MAP_PARMVAR","0.1","TABLE","0"
"OPB_METAEXT_VAL","0.1","TABLE","0"
"OPB_MMDCTLG_IDX","0.1","INDEX","-"
"OPB_MMDDBEX_IDX","0.1","INDEX","-"
"OPB_MMDEXAT_IDX","0.1","INDEX","-"
"OPB_MMDFUNC_IDX","0.1","INDEX","-"
"OPB_MMDKTYP_IDX","0.1","INDEX","-"
"OPB_MMDLIB_IDX2","0.1","INDEX","-"
"OPB_MMDPLGC_IDX","0.1","INDEX","-"
"OPB_MMDTMPL_IDX","0.1","INDEX","-"
"OPB_MMD_CATALOG","0.1","TABLE","47"
"OPB_MMD_DMN_IDX","0.1","INDEX","-"
"OPB_MMD_FLDATTR","0.1","TABLE","173"
"OPB_MMD_KEYTYPE","0.1","TABLE","187"
"OPB_MMD_METAEXT","0.1","TABLE","329"
"OPB_MMD_PLGCOMP","0.1","TABLE","394"
"OPB_NORMFLD_IDX","0.1","INDEX","-"
"OPB_OBJECT_TYPE","0.1","TABLE","93"
"OPB_OBJTYPE_IDX","0.1","INDEX","-"
"OPB_PARTDEF_IDX","0.1","INDEX","-"
"OPB_RESREF_IDX2","0.1","INDEX","-"
"OPB_SAP_CODEBLK","0.1","TABLE","0"
"OPB_SAP_PGMFLOW","0.1","TABLE","0"
"OPB_SAP_STRUCT_","0.1","TABLE","0"
"OPB_SEBL_LINKX_","0.1","TABLE","0"
"OPB_SELINFO_IDX","0.1","INDEX","-"
"OPB_SERVER_INFO","0.1","TABLE","1"
"OPB_SERVER_NODE","0.1","TABLE","0"
"OPB_SESCOMP_IDX","0.1","INDEX","-"
"OPB_SESEXTN_IDX","0.1","INDEX","-"
"OPB_SESSION_IDX","0.1","INDEX","-"
"OPB_SESS_EXTNS_","0.1","TABLE","0"
"OPB_SLEVEL_ATTR","0.1","TABLE","2"
"OPB_SRC_FLD_IDX","0.1","INDEX","-"
"OPB_SRVVARS_IDX","0.1","INDEX","-"
"OPB_STASKLG_IDX","0.1","INDEX","-"
"OPB_SWIDG_GROUP","0.1","TABLE","0"
"OPB_TABLE_GROUP","0.1","TABLE","0"
"OPB_TINSBRK_IDX","0.1","INDEX","-"
"OPB_TINSTLG_IDX","0.1","INDEX","-"
"OPB_USER_GROUPS","0.1","TABLE","0"
"OPB_USR_GRP_IDX","0.1","INDEX","-"
"OPB_WFDEPLG_IDX","0.1","INDEX","-"
"OPB_WFLOW_CACHE","0.1","TABLE","2"
"OPB_WFLOW_EXPR_","0.1","TABLE","0"
"OPB_WFVARLG_IDX","0.1","INDEX","-"
"OPB_WF_RUNINFO_","0.1","TABLE","0"
"OPB_WIDGET_ATTR","0.1","TABLE","11"
"OPB_WIDGET_DEP_","0.1","TABLE","0"
"OPB_WIDGET_EXPR","0.1","TABLE","0"
"OPB_WIDGET_IDX2","0.1","INDEX","-"
"OPB_WIDGET_IDX3","0.1","INDEX","-"
"OPB_WIDGET_INIT","0.1","TABLE","0"
"OPB_WIDGET_INST","0.1","TABLE","3"
"OPB_WIDGFLD_IDX","0.1","INDEX","-"
"PIC_NN_PARENTI1","0.1","INDEX","-"
"PIC_NN_PARENTI2","0.1","INDEX","-"
"PIC_NN_PARENTI3","0.1","INDEX","-"
"PIC_NN_PARENTI4","0.1","INDEX","-"
"PIC_NN_PARENTI5","0.1","INDEX","-"
"PIC_NN_PARENTI6","0.1","INDEX","-"
"PIC_NN_PARENTI7","0.1","INDEX","-"
"PIC_NN_PARENTI8","0.1","INDEX","-"
"PIC_NN_PARENTI9","0.1","INDEX","-"
"PIC_NN_PARENTID","0.1","INDEX","-"
"PO_CONFPROPERTY","0.1","TABLE","0"
"PO_HTTPFILEINFO","0.1","TABLE","0"
"PO_LICENSEUSAGE","0.1","TABLE","2"
"PO_NODERESOURCE","0.1","TABLE","103"
"PO_NODESERVICES","0.1","TABLE","0"
"PO_TYPEDELEMENT","0.1","TABLE","0"
"PO_UUMNAMESPACE","0.1","TABLE","1"
"PR_GANNOTATIONS","0.1","TABLE","63"
"RECYCLEBIN$_OBJ","0.1","INDEX","-"
"REPCAT$_FLAVORS","0.1","TABLE","0"
"REPCAT$_REPPROP","0.1","TABLE","0"
"RULE_SET_IEUAC$","0.1","TABLE","1"
"SCHEDULER$_STEP","0.1","TABLE","0"
"WRR$_REPLAYS_PK","0.1","INDEX","-"
"XSTREAM$_SERVER","0.1","TABLE","0"
"APPLY$_ERROR_TXN","0.1","TABLE","0"
"AQ$_AQ$_MEM_MC_L","0.1","TABLE","0"
"AQ$_AQ$_MEM_MC_S","0.1","TABLE","3"
"AQ$_QUEUES_CHECK","0.1","INDEX","-"
"AQ$_QUEUE_TABLES","0.1","TABLE","11"
"CDC_CHANGE_SETS$","0.1","TABLE","1"
"CDC_SUBSCRIBERS$","0.1","TABLE","0"
"DEF$_CALLDEST_N2","0.1","INDEX","-"
"DEF$_DEFAULTDEST","0.1","TABLE","0"
"DEF$_DESTINATION","0.1","TABLE","0"
"DEF$_LOB_PRIMARY","0.1","INDEX","-"
"FGR$_FILE_GROUPS","0.1","TABLE","0"
"HS$_BASE_CAPS_PK","0.1","INDEX","-"
"HS$_CLASS_DD_UK1","0.1","INDEX","-"
"HS$_FDS_CLASS_PK","0.1","INDEX","-"
"HS$_FDS_INST_UK1","0.1","INDEX","-"
"HS$_INST_CAPS_PK","0.1","INDEX","-"
"HS$_INST_INIT_PK","0.1","INDEX","-"
"I1_CHNF$_CLAUSES","0.1","INDEX","-"
"I1_CHNF$_QUERIES","0.1","INDEX","-"
"I1_JIREFRESHSQL$","0.1","INDEX","-"
"I2_CHNF$_CLAUSES","0.1","INDEX","-"
"I2_CHNF$_QUERIES","0.1","INDEX","-"
"I2_JIREFRESHSQL$","0.1","INDEX","-"
"INSERT_TSN_LIST$","0.1","TABLE","0"
"I_DEFSUBPARTLOB$","0.1","INDEX","-"
"I_DIMLEVELKEY$_1","0.1","INDEX","-"
"I_DIMLEVELKEY$_2","0.1","INDEX","-"
"I_EXTERNAL_TAB1$","0.1","INDEX","-"
"I_OLAP_AW_VIEWS$","0.1","INDEX","-"
"I_OLAP_MAPPINGS$","0.1","INDEX","-"
"I_OLAP_TAB_HIER$","0.1","INDEX","-"
"I_PENDING_TRANS1","0.1","INDEX","-"
"I_PROCEDUREJAVA$","0.1","INDEX","-"
"I_RULE_SET_RDEP1","0.1","INDEX","-"
"I_RULE_SET_RDEP2","0.1","INDEX","-"
"I_SCHEDULER_JOB1","0.1","INDEX","-"
"I_SCHEDULER_JOB2","0.1","INDEX","-"
"I_SCHEDULER_JOB3","0.1","INDEX","-"
"I_SCHEDULER_JOB4","0.1","INDEX","-"
"I_STREAMS_RULES1","0.1","INDEX","-"
"I_STREAMS_RULES2","0.1","INDEX","-"
"I_TYPEHIERARCHY1","0.1","INDEX","-"
"LOGMNRG_ATTRCOL$","0.1","TABLE","0"
"LOGMNRG_COLTYPE$","0.1","TABLE","0"
"LOGMNRG_INDPART$","0.1","TABLE","0"
"LOGMNRG_LOBFRAG$","0.1","TABLE","0"
"LOGMNRG_OPQTYPE$","0.1","TABLE","0"
"LOGMNRG_PARTOBJ$","0.1","TABLE","0"
"LOGMNRG_TABPART$","0.1","TABLE","0"
"MAP_FILE_EXTENT$","0.1","TABLE","0"
"MVIEW$_ADV_GC_PK","0.1","INDEX","-"
"MVIEW$_ADV_LEVEL","0.1","TABLE","0"
"OLAP_ATTRIBUTES$","0.1","TABLE","0"
"OLAP_DIM_LEVELS$","0.1","TABLE","0"
"OPB_ANALYZE_DEP_","0.1","TABLE","0"
"OPB_ANAL_DEP_IDX","0.1","INDEX","-"
"OPB_BCF_BUSCOMPS","0.1","TABLE","0"
"OPB_BCF_TREE_IDX","0.1","INDEX","-"
"OPB_CFG_ATTR_IDX","0.1","INDEX","-"
"OPB_CM_DEPDETAIL","0.1","TABLE","0"
"OPB_CM_LABEL_IDX","0.1","INDEX","-"
"OPB_CM_LABEL_REF","0.1","TABLE","0"
"OPB_CM_QUERY_IDX","0.1","INDEX","-"
"OPB_DTLWIDLG_IDX","0.1","INDEX","-"
"OPB_EXTNATTR_IDX","0.1","INDEX","-"
"OPB_FILEDESC_IDX","0.1","INDEX","-"
"OPB_GEN_OBJ_REFS","0.1","TABLE","0"
"OPB_KEYRANGE_IDX","0.1","INDEX","-"
"OPB_LABELREF_IDX","0.1","INDEX","-"
"OPB_LINK_MCR_DEP","0.1","TABLE","0"
"OPB_LINK_MCR_IDX","0.1","INDEX","-"
"OPB_LVLHRCHY_IDX","0.1","INDEX","-"
"OPB_MAPPING_IDX2","0.1","INDEX","-"
"OPB_MAP_OPTIONS_","0.1","TABLE","0"
"OPB_MAP_PARMVAR_","0.1","TABLE","0"
"OPB_MD_DIMENSION","0.1","TABLE","0"
"OPB_MD_HIERARCHY","0.1","TABLE","0"
"OPB_MD_LVL_HRCHY","0.1","TABLE","0"
"OPB_METAEXT_VAL_","0.1","TABLE","0"
"OPB_MMDCATTV_IDX","0.1","INDEX","-"
"OPB_MMDCNXAT_IDX","0.1","INDEX","-"
"OPB_MMDDBSUB_IDX","0.1","INDEX","-"
"OPB_MMDDBTYP_IDX","0.1","INDEX","-"
"OPB_MMDEATTR_IDX","0.1","INDEX","-"
"OPB_MMDECNXR_IDX","0.1","INDEX","-"
"OPB_MMDEWATT_IDX","0.1","INDEX","-"
"OPB_MMDEXCNX_IDX","0.1","INDEX","-"
"OPB_MMDSESEX_IDX","0.1","INDEX","-"
"OPB_MMD_CFG_ATTR","0.1","TABLE","42"
"OPB_MMD_FUNCTION","0.1","TABLE","33"
"OPB_MMD_FUNC_GRP","0.1","TABLE","7"
"OPB_MMD_MXTN_IDX","0.1","INDEX","-"
"OPB_MMD_TEMPLATE","0.1","TABLE","40"
"OPB_MXTN_VAL_IDX","0.1","INDEX","-"
"OPB_NOTIFMSG_IDX","0.1","INDEX","-"
"OPB_OBJECT_LOCKS","0.1","TABLE","0"
"OPB_OBJECT_NOTIF","0.1","TABLE","0"
"OPB_OBJNOTIF_IDX","0.1","INDEX","-"
"OPB_PF_COUNT_IDX","0.1","INDEX","-"
"OPB_PROF_RES_IDX","0.1","INDEX","-"
"OPB_PROF_RES_REF","0.1","TABLE","0"
"OPB_PROF_RULESET","0.1","TABLE","0"
"OPB_PROF_SRC_REF","0.1","TABLE","0"
"OPB_PROGRAM_INFO","0.1","TABLE","0"
"OPB_PROXYUSR_IDX","0.1","INDEX","-"
"OPB_REPOSIT_INFO","0.1","TABLE","1"
"OPB_SAP_CODEBLK_","0.1","TABLE","0"
"OPB_SAP_DSQ_OPRT","0.1","TABLE","0"
"OPB_SAP_PGMFLOW_","0.1","TABLE","0"
"OPB_SEBL_MVL_IDX","0.1","INDEX","-"
"OPB_SERVER_INFO_","0.1","TABLE","0"
"OPB_SERVICED_REQ","0.1","TABLE","0"
"OPB_SERVNODE_IDX","0.1","INDEX","-"
"OPB_SESCOMP_IDX2","0.1","INDEX","-"
"OPB_SESCOMP_IDX3","0.1","INDEX","-"
"OPB_SESCOMP_IDX4","0.1","INDEX","-"
"OPB_SESCOMP_IDX5","0.1","INDEX","-"
"OPB_SESCXREF_IDX","0.1","INDEX","-"
"OPB_SESFLREF_IDX","0.1","INDEX","-"
"OPB_SESWINST_IDX","0.1","INDEX","-"
"OPB_SHORTCUT_IDX","0.1","INDEX","-"
"OPB_SLEVEL_ATTR_","0.1","TABLE","0"
"OPB_SRC_FLD_IDX1","0.1","INDEX","-"
"OPB_SRV_LOC_VARS","0.1","TABLE","16"
"OPB_SWIDGET_ATTR","0.1","TABLE","0"
"OPB_SWIDGET_INST","0.1","TABLE","3"
"OPB_SWIDGGRP_IDX","0.1","INDEX","-"
"OPB_SWIDG_GROUP_","0.1","TABLE","0"
"OPB_SWINSTLG_IDX","0.1","INDEX","-"
"OPB_TABLE_GROUP_","0.1","TABLE","0"
"OPB_TARGINDEXFLD","0.1","TABLE","0"
"OPB_TARG_FLD_IDX","0.1","INDEX","-"
"OPB_TASK_MCR_DEP","0.1","TABLE","0"
"OPB_TASK_MCR_IDX","0.1","INDEX","-"
"OPB_TINSTLG_IDX2","0.1","INDEX","-"
"OPB_TSKVALST_IDX","0.1","INDEX","-"
"OPB_UPGRADE_HIST","0.1","TABLE","13"
"OPB_USR_GRP_IDX2","0.1","INDEX","-"
"OPB_VALIDATE_IDX","0.1","INDEX","-"
"OPB_WFATTDEF_IDX","0.1","INDEX","-"
"OPB_WFDEPLG_IDX2","0.1","INDEX","-"
"OPB_WFLOW_CACHE_","0.1","TABLE","0"
"OPB_WFLOW_PERVAL","0.1","TABLE","0"
"OPB_WFOUTDEP_IDX","0.1","INDEX","-"
"OPB_WIDGET_ATTR_","0.1","TABLE","0"
"OPB_WIDGET_EXPR_","0.1","TABLE","0"
"OPB_WIDGET_FIELD","0.1","TABLE","11"
"OPB_WIDGET_INIT_","0.1","TABLE","0"
"OPB_WIDGET_INST_","0.1","TABLE","0"
"OPB_WIDGEXPR_IDX","0.1","INDEX","-"
"OPB_WIDGINIT_IDX","0.1","INDEX","-"
"OPB_WIDG_MCR_DEP","0.1","TABLE","0"
"OPB_WIDG_MCR_IDX","0.1","INDEX","-"
"OPB_XML_INFO_IDX","0.1","INDEX","-"
"OPB_XML_QUAL_IDX","0.1","INDEX","-"
"PO_CONFNAMESPACE","0.1","TABLE","0"
"PO_LDAPNAMESPACE","0.1","TABLE","0"
"PO_LICENSEOPTION","0.1","TABLE","0"
"PO_MPSERVICEINFO","0.1","TABLE","0"
"PO_NAMEVALUEPAIR","0.1","TABLE","0"
"PO_PARAMETERTYPE","0.1","TABLE","0"
"PO_REGISTEREDRUN","0.1","TABLE","0"
"PO_TYPECONTAINER","0.1","TABLE","0"
"PROXY_ROLE_DATA$","0.1","TABLE","0"
"PROXY_ROLE_INFO$","0.1","TABLE","0"
"REDEF_DEP_ERROR$","0.1","TABLE","0"
"REGISTRY$HISTORY","0.1","TABLE","0"
"REGISTRY$SCHEMAS","0.1","TABLE","9"
"REPCAT$_CONFLICT","0.1","TABLE","0"
"REPCAT$_PRIORITY","0.1","TABLE","0"
"REP_FLD_DATATYPE","0.1","TABLE","366"
"SCHEDULER$_CHAIN","0.1","TABLE","0"
"SCHEDULER$_CLASS","0.1","TABLE","13"
"SCHEDULER$_FW_PK","0.1","INDEX","-"
"SNAP_LOADERTIME$","0.1","TABLE","0"
"TRANSFORMATIONS$","0.1","TABLE","3"
"USER_ASTATUS_MAP","0.1","TABLE","9"
"WRR$_CAPTURES_PK","0.1","INDEX","-"
"APPLY$_SOURCE_OBJ","0.1","TABLE","0"
"AQ$_MESSAGE_TYPES","0.1","TABLE","0"
"CDC_PROPAGATIONS$","0.1","TABLE","0"
"CHNF$_QUERY_BINDS","0.1","TABLE","0"
"CHNF$_REG_QUERIES","0.1","TABLE","0"
"DAM_CLEANUP_JOBS$","0.1","TABLE","0"
"DAM_CONFIG_PARAM$","0.1","TABLE","10"
"DAM_LAST_ARCH_TS$","0.1","TABLE","0"
"DST$TRIGGER_TABLE","0.1","TABLE","0"
"HS$_CLASS_CAPS_PK","0.1","INDEX","-"
"HS$_CLASS_INIT_PK","0.1","INDEX","-"
"HS$_FDS_CLASS_UK1","0.1","INDEX","-"
"HS$_INST_CAPS_UK1","0.1","INDEX","-"
"HS$_INST_INIT_UK1","0.1","INDEX","-"
"ISP_RUN_LOG_INDEX","0.1","INDEX","-"
"I_APPLY_DEST_OBJ1","0.1","INDEX","-"
"I_APPLY_DEST_OBJ2","0.1","INDEX","-"
"I_APPLY_DEST_OBJ3","0.1","INDEX","-"
"I_CHNFDIRECTLOAD$","0.1","INDEX","-"
"I_FIXED_OBJ$_OBJ#","0.1","INDEX","-"
"I_INDPART_BOPART$","0.1","INDEX","-"
"I_INDSUBPART_OBJ$","0.1","INDEX","-"
"I_IND_STATS$_OBJ#","0.1","INDEX","-"
"I_SCHEDULER_STEP1","0.1","INDEX","-"
"I_SCHEDULER_STEP2","0.1","INDEX","-"
"I_TABPART_BOPART$","0.1","INDEX","-"
"I_TAB_STATS$_OBJ#","0.1","INDEX","-"
"I_XSTREAM_SERVER1","0.1","INDEX","-"
"I_XSTREAM_SERVER2","0.1","INDEX","-"
"LOGMNR_PARAMETER$","0.1","TABLE","0"
"LOGMNR_SESSION_PK","0.1","INDEX","-"
"MVIEW$_ADV_AJG_PK","0.1","INDEX","-"
"MVIEW$_ADV_CLIQUE","0.1","TABLE","0"
"MVIEW$_ADV_FILTER","0.1","TABLE","0"
"MVIEW$_ADV_FJG_PK","0.1","INDEX","-"
"MVIEW$_ADV_LOG_PK","0.1","INDEX","-"
"MVIEW$_ADV_OUTPUT","0.1","TABLE","0"
"MVIEW$_ADV_PRETTY","0.1","TABLE","0"
"MVIEW$_ADV_ROLLUP","0.1","TABLE","0"
"OLAP_HIERARCHIES$","0.1","TABLE","0"
"OLAP_HIER_LEVELS$","0.1","TABLE","0"
"OPB_ATTR_CATEGORY","0.1","TABLE","2"
"OPB_BCFBCOMPS_IDX","0.1","INDEX","-"
"OPB_BCF_BUSCOMPS_","0.1","TABLE","0"
"OPB_CM_DEPLOY_LOG","0.1","TABLE","0"
"OPB_CM_DEPLOY_REF","0.1","TABLE","0"
"OPB_DEPDETAIL_IDX","0.1","INDEX","-"
"OPB_DEPLOYREF_IDX","0.1","INDEX","-"
"OPB_DIMENSION_IDX","0.1","INDEX","-"
"OPB_DTL_SWIDG_LOG","0.1","TABLE","2"
"OPB_EXTNATTR_IDX2","0.1","INDEX","-"
"OPB_FILEDESC_IDX2","0.1","INDEX","-"
"OPB_HIERARCHY_IDX","0.1","INDEX","-"
"OPB_LABELREF_IDX2","0.1","INDEX","-"
"OPB_LEVEL_FLD_IDX","0.1","INDEX","-"
"OPB_LINK_MCR_DEP_","0.1","TABLE","0"
"OPB_LINK_MCR_IDX1","0.1","INDEX","-"
"OPB_LINK_MCR_IDX2","0.1","INDEX","-"
"OPB_MACRO_REF_IDX","0.1","INDEX","-"
"OPB_MAP_PERSISVAL","0.1","TABLE","0"
"OPB_MAP_TARG_INFO","0.1","TABLE","3"
"OPB_MD_CUBE_FIELD","0.1","TABLE","0"
"OPB_MD_CUBE_HRCHY","0.1","TABLE","0"
"OPB_MD_DIMENSION_","0.1","TABLE","0"
"OPB_MD_FACT_FIELD","0.1","TABLE","0"
"OPB_MD_FACT_LEVEL","0.1","TABLE","0"
"OPB_MD_HIERARCHY_","0.1","TABLE","0"
"OPB_MD_HIER_GRAPH","0.1","TABLE","0"
"OPB_MD_LVL_HRCHY_","0.1","TABLE","0"
"OPB_MMDDBWATT_IDX","0.1","INDEX","-"
"OPB_MMDDBWAVL_IDX","0.1","INDEX","-"
"OPB_MMDSLATTR_IDX","0.1","INDEX","-"
"OPB_MMDTMPLEX_IDX","0.1","INDEX","-"
"OPB_MMD_CATTR_VAL","0.1","TABLE","240"
"OPB_MMD_CFGAT_VAL","0.1","TABLE","24"
"OPB_MMD_DBSUBTYPE","0.1","TABLE","12"
"OPB_MMD_EATTR2CNX","0.1","TABLE","8"
"OPB_MMD_EATTR_VAL","0.1","TABLE","279"
"OPB_MMD_ECNXN_REF","0.1","TABLE","279"
"OPB_MMD_EXTN_CNXN","0.1","TABLE","114"
"OPB_MMD_EXTN_FILE","0.1","TABLE","3"
"OPB_MMD_SLVL_ATTR","0.1","TABLE","2"
"OPB_MMD_TASK_ATTR","0.1","TABLE","70"
"OPB_MMD_TATTR_VAL","0.1","TABLE","26"
"OPB_MMD_TMPL2EXTN","0.1","TABLE","36"
"OPB_MMD_TMPL_ATTR","0.1","TABLE","449"
"OPB_MXTN_VAL_IDX2","0.1","INDEX","-"
"OPB_OBJACCESS_IDX","0.1","INDEX","-"
"OPB_OBJECT_ACCESS","0.1","TABLE","9"
"OPB_PARTITION_DEF","0.1","TABLE","2"
"OPB_PF_COUNT_IDX2","0.1","INDEX","-"
"OPB_PROF_METADATA","0.1","TABLE","0"
"OPB_PROF_RESOURCE","0.1","TABLE","0"
"OPB_PROF_RES_DATA","0.1","TABLE","0"
"OPB_PROF_RES_REF_","0.1","TABLE","0"
"OPB_PROF_RULESET_","0.1","TABLE","0"
"OPB_PROF_SRC_REF_","0.1","TABLE","0"
"OPB_PROGRAM_INFO_","0.1","TABLE","0"
"OPB_PROXYUSER_KEY","0.1","TABLE","0"
"OPB_SAP_DSQ_OPRT_","0.1","TABLE","0"
"OPB_SAP_FUNC_INST","0.1","TABLE","0"
"OPB_SAP_FUNC_VARS","0.1","TABLE","0"
"OPB_SCHEMADEP_IDX","0.1","INDEX","-"
"OPB_SCHEMAIDS_IDX","0.1","INDEX","-"
"OPB_SCHEMA_DEPLOY","0.1","TABLE","0"
"OPB_SEBL_MVLA_IDX","0.1","INDEX","-"
"OPB_SEBL_MVL_ATTR","0.1","TABLE","0"
"OPB_SEBL_MVL_LREL","0.1","TABLE","0"
"OPB_SERVICE_LEVEL","0.1","TABLE","1"
"OPB_SERVLEVEL_IDX","0.1","INDEX","-"
"OPB_SESCXREF_IDX2","0.1","INDEX","-"
"OPB_SESS_CNX_REFS","0.1","TABLE","2"
"OPB_SESS_CNX_VALS","0.1","TABLE","2"
"OPB_SESS_FILE_REF","0.1","TABLE","0"
"OPB_SESS_TASK_LOG","0.1","TABLE","1"
"OPB_SESWINST_IDX1","0.1","INDEX","-"
"OPB_SHORTCUT_IDX2","0.1","INDEX","-"
"OPB_SHORTCUT_IDX3","0.1","INDEX","-"
"OPB_SPERFILES_IDX","0.1","INDEX","-"
"OPB_SRVNETREF_IDX","0.1","INDEX","-"
"OPB_SRV_LOC_VARS_","0.1","TABLE","0"
"OPB_SWIDGATTR_IDX","0.1","INDEX","-"
"OPB_SWIDGET_ATTR_","0.1","TABLE","0"
"OPB_SWIDGET_INST_","0.1","TABLE","0"
"OPB_SWIDGINST_LOG","0.1","TABLE","2"
"OPB_TABLE_GRP_IDX","0.1","INDEX","-"
"OPB_TARGINDEXFLD_","0.1","TABLE","0"
"OPB_TARGINDEX_IDX","0.1","INDEX","-"
"OPB_TARG_FLD_EXPR","0.1","TABLE","0"
"OPB_TARG_FLD_IDX1","0.1","INDEX","-"
"OPB_TARG_FLD_IDX2","0.1","INDEX","-"
"OPB_TARG_TBL_EXPR","0.1","TABLE","0"
"OPB_TASKATTR_IDX2","0.1","INDEX","-"
"OPB_TASKSTATS_IDX","0.1","INDEX","-"
"OPB_TASK_ATTR_IDX","0.1","INDEX","-"
"OPB_TASK_INST_BRK","0.1","TABLE","0"
"OPB_TASK_INST_IDX","0.1","INDEX","-"
"OPB_TASK_INST_RUN","0.1","TABLE","2"
"OPB_TASK_MCR_DEP_","0.1","TABLE","0"
"OPB_TASK_MCR_IDX1","0.1","INDEX","-"
"OPB_TASK_MCR_IDX2","0.1","INDEX","-"
"OPB_TASK_RES_REFS","0.1","TABLE","0"
"OPB_TASK_VAL_LIST","0.1","TABLE","0"
"OPB_TINDEXFLD_IDX","0.1","INDEX","-"
"OPB_VERSION_PROPS","0.1","TABLE","9"
"OPB_VER_PROPS_IDX","0.1","INDEX","-"
"OPB_WFCACHELG_IDX","0.1","INDEX","-"
"OPB_WFLD_ATTR_DEF","0.1","TABLE","0"
"OPB_WFLD_INOUTDEP","0.1","TABLE","0"
"OPB_WFLOW_DEP_RUN","0.1","TABLE","1"
"OPB_WFLOW_PERVAL_","0.1","TABLE","0"
"OPB_WFLOW_RUN_BRK","0.1","TABLE","0"
"OPB_WFLOW_VAR_RUN","0.1","TABLE","0"
"OPB_WIDGET_FIELD_","0.1","TABLE","0"
